"source","vaccine","state_name","year","year_type","vaccine_coverage_estimate","ci_95","sample_size"
"child_vax_view","Hib","Alabama",2019,"birth_cohort",97.4,"94.7 to 98.9",227
"child_vax_view","Hib","Alabama",2020,"birth_cohort",93.8,"89.4 to 96.8",240
"child_vax_view","Hib","Alabama",2021,"birth_cohort",88.3,"82.4 to 92.9",270
"child_vax_view","Hib","Alabama",2022,"birth_cohort",87.8,"79.9 to 93.6",184
"child_vax_view","Hib","Alaska",2019,"birth_cohort",88.5,"82.7 to 93.0",287
"child_vax_view","Hib","Alaska",2020,"birth_cohort",88.5,"83.7 to 92.4",302
"child_vax_view","Hib","Alaska",2021,"birth_cohort",88.1,"82.6 to 92.4",279
"child_vax_view","Hib","Alaska",2022,"birth_cohort",87.7,"73.8 to 96.2",126
"child_vax_view","Hib","Arizona",2019,"birth_cohort",90.5,"85.2 to 94.5",235
"child_vax_view","Hib","Arizona",2020,"birth_cohort",88.7,"82.5 to 93.4",271
"child_vax_view","Hib","Arizona",2021,"birth_cohort",92.2,"86.5 to 96.1",293
"child_vax_view","Hib","Arizona",2022,"birth_cohort",95,"87.2 to 98.7",145
"child_vax_view","Hib","Arkansas",2019,"birth_cohort",87.9,"82.7 to 92.2",357
"child_vax_view","Hib","Arkansas",2020,"birth_cohort",90.2,"85.7 to 93.8",323
"child_vax_view","Hib","Arkansas",2021,"birth_cohort",90,"85.0 to 93.9",312
"child_vax_view","Hib","Arkansas",2022,"birth_cohort",93.2,"85.9 to 97.5",144
"child_vax_view","Hib","California",2019,"birth_cohort",96.3,"93.8 to 97.9",537
"child_vax_view","Hib","California",2020,"birth_cohort",88.7,"83.8 to 92.6",434
"child_vax_view","Hib","California",2021,"birth_cohort",90.9,"87.3 to 93.8",397
"child_vax_view","Hib","California",2022,"birth_cohort",85.6,"78.1 to 91.5",193
"child_vax_view","Hib","Colorado",2019,"birth_cohort",93.8,"90.2 to 96.5",265
"child_vax_view","Hib","Colorado",2020,"birth_cohort",93.4,"89.4 to 96.3",311
"child_vax_view","Hib","Colorado",2021,"birth_cohort",90.7,"86.4 to 94.1",302
"child_vax_view","Hib","Colorado",2022,"birth_cohort",92.1,"86.3 to 96.0",177
"child_vax_view","Hib","Connecticut",2019,"birth_cohort",96.1,"92.4 to 98.4",311
"child_vax_view","Hib","Connecticut",2020,"birth_cohort",94.8,"90.0 to 97.7",248
"child_vax_view","Hib","Connecticut",2021,"birth_cohort",93.5,"89.2 to 96.5",254
"child_vax_view","Hib","Connecticut",2022,"birth_cohort",96.1,"89.6 to 99.0",136
"child_vax_view","Hib","Delaware",2019,"birth_cohort",95.8,"92.2 to 98.1",205
"child_vax_view","Hib","Delaware",2020,"birth_cohort",88.7,"82.5 to 93.4",183
"child_vax_view","Hib","Delaware",2021,"birth_cohort",90.2,"84.1 to 94.7",179
"child_vax_view","Hib","Delaware",2022,"birth_cohort",94.1,"88.7 to 97.4",115
"child_vax_view","Hib","District of Columbia",2019,"birth_cohort",90.8,"86.1 to 94.4",327
"child_vax_view","Hib","District of Columbia",2020,"birth_cohort",91,"85.6 to 95.0",293
"child_vax_view","Hib","District of Columbia",2021,"birth_cohort",90.1,"84.8 to 94.2",314
"child_vax_view","Hib","District of Columbia",2022,"birth_cohort",81,"67.8 to 91.3",212
"child_vax_view","Hib","Florida",2019,"birth_cohort",94,"90.3 to 96.6",333
"child_vax_view","Hib","Florida",2020,"birth_cohort",92.4,"88.9 to 95.2",390
"child_vax_view","Hib","Florida",2021,"birth_cohort",92.6,"88.4 to 95.7",433
"child_vax_view","Hib","Florida",2022,"birth_cohort",94.3,"90.0 to 97.2",203
"child_vax_view","Hib","Georgia",2019,"birth_cohort",91.5,"84.7 to 96.1",273
"child_vax_view","Hib","Georgia",2020,"birth_cohort",87.1,"78.5 to 93.4",338
"child_vax_view","Hib","Georgia",2021,"birth_cohort",91.4,"86.2 to 95.1",376
"child_vax_view","Hib","Georgia",2022,"birth_cohort",92,"86.6 to 95.8",193
